Model,Split_Dir,LR,RNN_LR,LR_Display,Diff_LR,CNN_Frozen,Weight_Decay,Batch_Size,Seed,Params,Epochs,Best_Epoch,Early_Stop,Test_F1,Test_AUROC,Test_Accuracy,Test_Loss,Val_F1,Run_ID,Date,Device,User,Platform,Torch_Vers
cnn_lstm,data/splits,4.98e-05,1.41e-05,"CNN=4.98e-05, RNN=1.41e-05",True,False,1.24e-06,192,45050,308420,17,7,True,0.4356691807893473,0.5290327967145247,0.4138820882683782,1.3210860596427434,0.41501373048167184,cnn_lstm_seed45050_20251210_213546,2025-12-10T21:35:46.825607,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits_20s,0.00044,,4.40e-04,False,False,0.000266,192,9367,44228,12,2,True,0.43565962981431317,0.5475860868500397,0.3896339253352664,1.1622332811355591,0.4483628421621065,cnn_only_seed9367_20251211_025105,2025-12-11T02:51:05.731542,cuda,tomra,Windows,2.9.1+cu128
cnn_bilstm_seq24,data/splits,1.42e-05,2.19e-06,"CNN=1.42e-05, RNN=2.19e-06",True,True,0.000701,32,31415,316612,25,4,True,0.43446821857012285,0.5453612147180946,0.4320783431482829,1.2442507005393126,0.4504849029940791,cnn_bilstm_seq24_seed31415_20251210_232410,2025-12-10T23:24:10.267040,cuda,tomra,Windows,2.9.1+cu128
simple_lstm,data/splits,3e-05,9.8e-06,"CNN=3.00e-05, RNN=9.80e-06",True,False,0.000996,64,53860,57044,11,1,True,0.43369246492461316,0.515607418085489,0.5589227817111097,1.3559922794752484,0.42462170377657943,simple_lstm_seed53860_20251210_164249,2025-12-10T16:42:49.648721,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits,3.29e-05,2.37e-06,"CNN=3.29e-05, RNN=2.37e-06",True,False,1.3e-06,192,29224,44228,11,1,True,0.4336669276783374,0.515942918320525,0.44160656388539665,1.352232207225848,0.4341945886880563,cnn_only_seed29224_20251210_154628,2025-12-10T15:46:28.327424,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits,4.7e-05,,4.70e-05,False,False,2.18e-05,64,82391,44228,40,30,True,0.43310774532717067,0.5957147662312722,0.4343280619334348,1.5768696250166068,0.419056466773344,cnn_only_seed82391_20251210_215027,2025-12-10T21:50:27.651659,cuda,navak,Linux,2.8.0+cu128
cnn_lstm,data/splits_10s,1.28e-05,1.71e-06,"CNN=1.28e-05, RNN=1.71e-06",True,False,1.61e-05,128,65364,308420,11,1,True,0.4321948789252565,0.5010968584633749,0.5853033323839362,1.3819920063018798,0.43094293739372774,cnn_lstm_seed65364_20251210_214754,2025-12-10T21:47:54.938382,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits_20s,0.000204,9.75e-06,"CNN=2.04e-04, RNN=9.75e-06",True,False,0.000466,64,86060,44228,23,13,True,0.4310380423398155,0.580996089611031,0.40811888365349763,1.2711156566034665,0.44082581614390737,cnn_only_seed86060_20251210_150142,2025-12-10T15:01:42.642794,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits_20s,0.00012,,1.20e-04,False,False,8.17e-05,256,58744,44228,12,2,True,0.4303860578001071,0.552226381029112,0.525915186661834,1.3556732589548284,0.43118886149295355,cnn_only_seed58744_20251210_222244,2025-12-10T22:22:45.456475,cuda,tomra,Windows,2.9.1+cu128
cnn_only,data/splits_20s,0.0001,,1.00e-04,False,False,0.0001,64,456,44228,18,8,True,0.4293082978363594,0.5651212526043377,0.3881841246828561,1.2402898195115002,0.44923270551822947,cnn_only_seed456_20251208_163643,2025-12-08T16:36:44.354845,cuda,tomra,Windows,2.9.1+cu128
